date,return,position_date
2012-03-26,0.022646670061335077,2012-03-23
2012-03-27,0.005783582802965116,2012-03-26
2012-03-28,-0.011242435687676636,2012-03-27
2012-03-29,0.004920904838762263,2012-03-28
2012-03-30,-0.003976433289902751,2012-03-29
2012-04-02,-0.008263219232126393,2012-03-30
2012-04-03,-0.004503337253153246,2012-04-02
2012-04-04,-0.020450099791579152,2012-04-03
2012-04-05,0.004826717002292631,2012-04-04
2012-04-09,-0.007831118905975855,2012-04-05
2012-04-10,-0.023304405685110684,2012-04-09
2012-04-11,0.008257482002859928,2012-04-10
2012-04-12,0.010349219736848362,2012-04-11
2012-04-13,-0.0073907310079688515,2012-04-12
2012-04-16,-0.011912473418604257,2012-04-13
2012-04-17,0.01067534108846782,2012-04-16
2012-04-18,0.007190065031172022,2012-04-17
2012-04-19,0.0034615830919990723,2012-04-18
2012-04-20,-0.0101762802309173,2012-04-19
2012-04-23,-0.010384859862757908,2012-04-20
2012-04-24,0.001422551866992268,2012-04-23
2012-04-25,0.008199892052262644,2012-04-24
2012-04-26,0.005724746345321915,2012-04-25
2012-04-27,-0.003952403995207851,2012-04-26
2012-04-30,-0.002032631302382831,2012-04-27
2012-05-01,0.0032012648544280245,2012-04-30
2012-05-02,0.0004988905267926297,2012-05-01
2012-05-03,-0.005335736999436853,2012-05-02
2012-05-04,-0.026008572396383406,2012-05-03
2012-05-07,0.00014461704179436602,2012-05-04
2012-05-08,-0.007441825290074961,2012-05-07
2012-05-09,-0.004399399335642048,2012-05-08
2012-05-10,-0.0030578824997348378,2012-05-09
2012-05-11,0.001613170391277581,2012-05-10
2012-05-14,-0.009898002522936706,2012-05-11
2012-05-15,-0.006644905376926255,2012-05-14
2012-05-16,-0.00193200559615881,2012-05-15
2012-05-17,-0.012666842013518573,2012-05-16
2012-05-18,-0.019994968417644417,2012-05-17
2012-05-21,-0.002742122269768373,2012-05-18
2012-05-22,-0.002779021341486546,2012-05-21
2012-05-23,0.0022519914490491642,2012-05-22
2012-05-24,0.00616038057583858,2012-05-23
2012-05-25,0.0040549252604649266,2012-05-24
2012-05-29,0.006720206700382777,2012-05-25
2012-05-30,-0.009229464932203984,2012-05-29
2012-05-31,0.0010477238805965416,2012-05-30
2012-06-01,-0.005289102705373701,2012-05-31
2012-06-04,0.005879765006850825,2012-06-01
2012-06-05,0.0012707234716852166,2012-06-04
2012-06-06,0.011700061544559236,2012-06-05
2012-06-07,-0.0008205909638740351,2012-06-06
2012-06-08,0.011301826429152624,2012-06-07
2012-06-11,-0.0089963170698889,2012-06-08
2012-06-12,0.005639259480504675,2012-06-11
2012-06-13,-0.004994321976775423,2012-06-12
2012-06-14,0.009110726578336385,2012-06-13
2012-06-15,0.004440922866349961,2012-06-14
2012-06-18,0.004126937914920918,2012-06-15
2012-06-19,-0.00032915405692998515,2012-06-18
2012-06-20,-0.009814196692928188,2012-06-19
2012-06-21,-0.004907265836341503,2012-06-20
2012-06-22,0.008250046489309071,2012-06-21
2012-06-25,-0.009943893383022021,2012-06-22
2012-06-26,0.010746366129004125,2012-06-25
2012-06-27,0.0031259340478524533,2012-06-26
2012-06-28,-0.007131738324609578,2012-06-27
2012-06-29,0.0208733035925591,2012-06-28
2012-07-02,-0.0031749312621486125,2012-06-29
2012-07-03,0.013830766361406635,2012-07-02
2012-07-05,-0.003818609869407262,2012-07-03
2012-07-06,-0.007418631867589952,2012-07-05
2012-07-09,0.005578427749745153,2012-07-06
2012-07-10,-0.01871377742820149,2012-07-09
2012-07-11,0.005463174029495131,2012-07-10
2012-07-12,0.021314916608979467,2012-07-11
2012-07-13,0.014415788466725933,2012-07-12
2012-07-16,-0.0027089306310579256,2012-07-13
2012-07-17,0.004856513263012388,2012-07-16
2012-07-18,0.009493380671374549,2012-07-17
2012-07-19,-0.0002447019502587271,2012-07-18
2012-07-20,-0.003506934713902306,2012-07-19
2012-07-23,-0.007110614249995969,2012-07-20
2012-07-24,-0.013971726822113714,2012-07-23
2012-07-25,-0.0062114461428406575,2012-07-24
2012-07-26,0.00035390094652198176,2012-07-25
2012-07-27,0.02350547741370325,2012-07-26
2012-07-30,-0.005685966626895975,2012-07-27
2012-07-31,-0.00233243483703795,2012-07-30
2012-08-01,-0.0036247007721279777,2012-07-31
2012-08-02,-0.007181372530938284,2012-08-01
2012-08-03,0.017840297788345668,2012-08-02
2012-08-06,0.0030167718564493525,2012-08-03
2012-08-07,0.012742041069186819,2012-08-06
2012-08-08,0.0036895495826792,2012-08-07
2012-08-09,0.010686532870311093,2012-08-08
2012-08-10,0.002015531039671665,2012-08-09
2012-08-13,-0.0024443583852528025,2012-08-10
2012-08-14,-0.004984993434400603,2012-08-13
2012-08-15,-0.003672838097264883,2012-08-14
2012-08-16,0.012721779202161766,2012-08-15
2012-08-17,-0.0010269968757917387,2012-08-16
2012-08-20,-0.0051814574058107275,2012-08-17
2012-08-21,-0.0036126688120807823,2012-08-20
2012-08-22,0.0012411512667153542,2012-08-21
2012-08-23,-0.015703258628328495,2012-08-22
2012-08-24,0.004066295478071129,2012-08-23
2012-08-27,0.00415812730962529,2012-08-24
2012-08-28,-0.003928354803608949,2012-08-27
2012-08-29,0.0022266103254443975,2012-08-28
2012-08-30,-0.013009881033836782,2012-08-29
2012-08-31,0.0090274229164201,2012-08-30
2012-09-04,-0.0030560080269600694,2012-08-31
2012-09-05,0.002785150363935493,2012-09-04
2012-09-06,0.024432771660390984,2012-09-05
2012-09-07,0.013847655836193974,2012-09-06
2012-09-10,-0.006890068849088686,2012-09-07
2012-09-11,0.00807788416860641,2012-09-10
2012-09-12,0.020980172729244316,2012-09-11
2012-09-13,0.023880906338340384,2012-09-12
2012-09-14,0.013520111486461482,2012-09-13
2012-09-17,-0.013534319257880937,2012-09-14
2012-09-18,-0.005895863293087375,2012-09-17
2012-09-19,0.01087492350989654,2012-09-18
2012-09-20,-0.007212913579306861,2012-09-19
2012-09-21,0.0019101244144437931,2012-09-20
2012-09-24,-0.010804526973578836,2012-09-21
2012-09-25,-0.008858920325848367,2012-09-24
2012-09-26,-0.011179276394257167,2012-09-25
2012-09-27,0.007692278409003517,2012-09-26
2012-09-28,-0.008502373790059916,2012-09-27
2012-10-01,0.004234862520090914,2012-09-28
2012-10-02,0.00391148969073466,2012-10-01
2012-10-03,-0.007952367272404674,2012-10-02
2012-10-04,0.0076948207406231685,2012-10-03
2012-10-05,0.0015565258015405397,2012-10-04
2012-10-08,-0.004644202458808901,2012-10-05
2012-10-09,-0.008953194752054673,2012-10-08
2012-10-10,-0.0057211055527292935,2012-10-09
2012-10-11,0.0008533072474218994,2012-10-10
2012-10-12,-0.00355787130298777,2012-10-11
2012-10-15,0.014102595021942853,2012-10-12
2012-10-16,0.004977244888824958,2012-10-15
2012-10-17,0.009794289537273616,2012-10-16
2012-10-18,-0.0008267109776724639,2012-10-17
2012-10-19,-0.009782970728958396,2012-10-18
2012-10-22,-0.002281632268777421,2012-10-19
2012-10-23,-0.013556755517503573,2012-10-22
2012-10-24,-0.002297221000204486,2012-10-23
2012-10-25,-0.0071071884801478516,2012-10-24
2012-10-26,-0.003727869064587458,2012-10-25
2012-10-31,0.012133949621968057,2012-10-26
2012-11-01,0.010360860716148945,2012-10-31
2012-11-02,-0.003767851867268348,2012-11-01
2012-11-05,0.0015595323331614082,2012-11-02
2012-11-06,0.01620593985439639,2012-11-05
2012-11-07,-0.015441570327981491,2012-11-06
2012-11-08,-0.015176273127997443,2012-11-07
2012-11-09,-0.0006938469871335424,2012-11-08
2012-11-12,-0.0031005036860121855,2012-11-09
2012-11-13,0.0019978450127665567,2012-11-12
2012-11-14,-0.009897394096006379,2012-11-13
2012-11-15,-0.0003645573959183651,2012-11-14
2012-11-16,8.53362244239081e-05,2012-11-15
2012-11-19,0.014455433452653349,2012-11-16
2012-11-20,0.0005024983662181529,2012-11-19
2012-11-21,0.003464250055579822,2012-11-20
2012-11-23,0.01010598224378755,2012-11-21
2012-11-26,-0.006870765377927643,2012-11-23
2012-11-27,-0.010845046656563993,2012-11-26
2012-11-28,0.0043323052808718465,2012-11-27
2012-11-29,0.005848031115727456,2012-11-28
2012-11-30,-0.00013294003693028545,2012-11-29
2012-12-03,-0.017380270292069865,2012-11-30
2012-12-04,0.0028355697286326213,2012-12-03
2012-12-05,-0.005938145993062256,2012-12-04
2012-12-06,0.007357645275542984,2012-12-05
2012-12-07,-0.0025969118043906677,2012-12-06
2012-12-10,0.0011435442562213664,2012-12-07
2012-12-11,0.003844911485179991,2012-12-10
2012-12-12,0.0028388935875003534,2012-12-11
2012-12-13,-0.006194507170198601,2012-12-12
2012-12-14,0.001048910687391284,2012-12-13
2012-12-17,0.01814080836515343,2012-12-14
2012-12-18,0.011552654000678932,2012-12-17
2012-12-19,-0.003254387290124695,2012-12-18
2012-12-20,-0.011752315620909903,2012-12-19
2012-12-21,-0.019207583144064448,2012-12-20
2012-12-24,-0.012806343814389531,2012-12-21
2012-12-26,-0.004265906385853631,2012-12-24
2012-12-27,-0.003940413591616501,2012-12-26
2012-12-28,-0.009876717427471957,2012-12-27
2012-12-31,0.0098421117477319,2012-12-28
2013-01-02,0.030073466108658853,2012-12-31
2013-01-03,-0.00336768694155473,2013-01-02
2013-01-04,0.007876508531857538,2013-01-03
2013-01-07,-0.008792613590915625,2013-01-04
2013-01-08,-0.0001636890337132317,2013-01-07
2013-01-09,0.005693518813591557,2013-01-08
2013-01-10,0.014126863531849058,2013-01-09
2013-01-11,0.0028885239059676855,2013-01-10
2013-01-14,0.0008537922154614394,2013-01-11
2013-01-15,0.0030886393269209094,2013-01-14
2013-01-16,0.004438476989230665,2013-01-15
2013-01-17,0.004979636374967324,2013-01-16
2013-01-18,-0.013098411788942037,2013-01-17
2013-01-22,0.004835418986462168,2013-01-18
2013-01-23,-0.004283517945344972,2013-01-22
2013-01-24,0.0022372171826682136,2013-01-23
2013-01-25,0.007575288278437289,2013-01-24
2013-01-28,-0.0009609380794548799,2013-01-25
2013-01-29,0.037039762392027276,2013-01-28
2013-01-30,0.0003917226055244453,2013-01-29
2013-01-31,-0.004648254305027868,2013-01-30
2013-02-01,0.001596387577131089,2013-01-31
2013-02-04,-0.012120889964303761,2013-02-01
2013-02-05,0.01591881416638828,2013-02-04
2013-02-06,0.0019910170110686194,2013-02-05
2013-02-07,0.002549799440700005,2013-02-06
2013-02-08,0.0004627704969154083,2013-02-07
2013-02-11,0.0031849789953938526,2013-02-08
2013-02-12,0.005476679626546663,2013-02-11
2013-02-13,-0.00019732552864379013,2013-02-12
2013-02-14,-0.010369906888184257,2013-02-13
2013-02-15,-0.005247934983940324,2013-02-14
2013-02-19,0.004440504705849135,2013-02-15
2013-02-20,-0.012828259258565336,2013-02-19
2013-02-21,-0.003540740106617239,2013-02-20
2013-02-22,0.006777277048152069,2013-02-21
2013-02-25,-0.006964637188436354,2013-02-22
2013-02-26,0.010973118210823063,2013-02-25
2013-02-27,0.0038356932284141923,2013-02-26
2013-02-28,-0.0020124505088515224,2013-02-27
2013-03-01,0.002848559746056926,2013-02-28
2013-03-04,-0.0019027308854726384,2013-03-01
2013-03-05,0.0046412807008650815,2013-03-04
2013-03-06,-0.0009378938865991632,2013-03-05
2013-03-07,-0.0007769703081734903,2013-03-06
2013-03-08,-0.004355964062084658,2013-03-07
2013-03-11,0.008911052539677286,2013-03-08
2013-03-12,0.008900648842105677,2013-03-11
2013-03-13,0.004952289580032498,2013-03-12
2013-03-14,-0.0015633374531237765,2013-03-13
2013-03-15,-0.00693584187102167,2013-03-14
2013-03-18,-0.0019233179798496163,2013-03-15
2013-03-19,0.0006145308889167526,2013-03-18
2013-03-20,0.005931016683125453,2013-03-19
2013-03-21,0.00020338602072763712,2013-03-20
2013-03-22,0.007610294317727128,2013-03-21
2013-03-25,-0.0031074128927585077,2013-03-22
2013-03-26,0.010975093258796214,2013-03-25
2013-03-27,-0.0017808959332695229,2013-03-26
2013-03-28,-0.0016529103647784618,2013-03-27
2013-04-01,-0.008426518695585519,2013-03-28
2013-04-02,0.0023140913283548497,2013-04-01
2013-04-03,-0.00893966967558678,2013-04-02
2013-04-04,0.00461058205218628,2013-04-03
2013-04-05,-0.008086773023733453,2013-04-04
2013-04-08,0.006776615592774648,2013-04-05
2013-04-09,0.002167006430462079,2013-04-08
2013-04-10,0.013043622144725257,2013-04-09
2013-04-11,0.0022323993435564523,2013-04-10
2013-04-12,-0.007126904309193263,2013-04-11
2013-04-15,-0.014279774229991373,2013-04-12
2013-04-16,0.015253822178020545,2013-04-15
2013-04-17,-0.007029450960821513,2013-04-16
2013-04-18,0.0013390804098440375,2013-04-17
2013-04-19,0.015077621942193285,2013-04-18
2013-04-22,0.003430754881788684,2013-04-19
2013-04-23,0.011624771228468991,2013-04-22
2013-04-24,-0.0019017380816261271,2013-04-23
2013-04-25,0.012281007887332534,2013-04-24
2013-04-26,-0.0005891596269309578,2013-04-25
2013-04-29,0.004284551595208596,2013-04-26
2013-04-30,0.003895593141510688,2013-04-29
2013-05-01,-0.008714067408373122,2013-04-30
2013-05-02,0.007623690542107951,2013-05-01
2013-05-03,0.012683431503273335,2013-05-02
2013-05-06,0.009782809909765591,2013-05-03
2013-05-07,-5.9904663121853816e-05,2013-05-06
